latitude,longitude,altitude
37.2889622,127.107637,114.222
37.2889624,127.1076364,114.222
37.2889626,127.1076356,114.218
37.2889629,127.1076347,114.212
37.2889631,127.1076339,114.196
37.2889633,127.1076332,114.199
37.2889636,127.1076326,114.199
37.2889638,127.1076318,114.207
37.2889639,127.107631,114.22
37.288964,127.1076302,114.216
37.2889641,127.1076294,114.219
37.2889643,127.1076288,114.229
37.2889644,127.107628,114.237
37.2889647,127.1076272,114.227
37.288965,127.1076263,114.204
37.2889654,127.1076255,114.18
37.2889657,127.1076246,114.16
37.2889659,127.1076236,114.132
37.2889662,127.1076227,114.119
37.2889666,127.1076217,114.147
37.2889668,127.1076205,114.155
37.2889671,127.1076195,114.165
37.2889673,127.1076184,114.177
37.2889675,127.1076173,114.16
37.2889677,127.1076162,114.167
37.288968,127.1076153,114.169
37.2889683,127.1076143,114.179
37.2889686,127.1076131,114.175
37.2889689,127.107612,114.169
37.2889692,127.1076109,114.169
37.2889696,127.1076099,114.168
37.2889698,127.107609,114.171
37.2889702,127.1076079,114.186
37.2889707,127.1076058,114.183
37.2889709,127.1076047,114.177
37.2889712,127.1076037,114.177
37.2889716,127.1076028,114.179
37.2889719,127.1076017,114.181
37.2889723,127.1076005,114.182
37.2889727,127.1075995,114.18
37.288973,127.1075983,114.171
37.2889733,127.1075972,114.16
37.2889737,127.1075963,114.174
37.288974,127.1075952,114.172
37.2889742,127.1075942,114.176
37.2889744,127.1075931,114.166
37.2889747,127.1075919,114.174
37.288975,127.1075907,114.167
37.2889753,127.1075895,114.169
37.2889757,127.1075882,114.172
37.2889762,127.1075871,114.167
37.2889765,127.1075858,114.161
37.2889768,127.1075847,114.156
37.2889773,127.1075837,114.16
37.2889777,127.1075827,114.159
37.288978,127.1075817,114.163
37.2889783,127.1075808,114.166
37.2889786,127.1075796,114.155
37.288979,127.1075774,114.142
37.2889793,127.1075763,114.136
37.2889796,127.1075751,114.14
37.2889799,127.1075739,114.147
37.2889802,127.1075726,114.153
37.2889806,127.1075714,114.148
37.2889811,127.1075703,114.151
37.2889815,127.1075693,114.153
37.2889818,127.1075683,114.161
37.288982,127.1075672,114.171
37.2889822,127.107566,114.165
37.2889823,127.1075648,114.161
37.2889827,127.1075637,114.171
37.288983,127.1075625,114.169
37.2889834,127.1075615,114.165
37.2889837,127.1075604,114.169
37.2889841,127.1075592,114.161
37.2889844,127.107558,114.157
37.2889847,127.1075569,114.155
37.288985,127.107556,114.156
37.2889852,127.1075548,114.169
37.2889853,127.1075538,114.172
37.2889854,127.1075526,114.169
37.2889857,127.1075514,114.171
37.2889859,127.1075502,114.174
37.2889862,127.1075492,114.17
37.2889865,127.107548,114.173
37.2889869,127.1075468,114.178
37.2889872,127.1075456,114.173
37.2889876,127.1075444,114.17
37.288988,127.1075431,114.156
37.2889884,127.1075422,114.159
37.2889886,127.1075412,114.166
37.2889889,127.1075401,114.161
37.2889892,127.1075391,114.161
37.2889894,127.107538,114.16
37.2889896,127.1075369,114.16
37.2889899,127.1075357,114.162
37.2889903,127.1075347,114.163
37.2889907,127.1075336,114.157
37.288991,127.1075324,114.147
37.2889914,127.1075313,114.131
37.2889917,127.1075302,114.133
37.2889919,127.1075292,114.14
37.2889922,127.1075283,114.15
37.2889924,127.1075272,114.151
37.2889925,127.1075259,114.152
